nSeq,A1,Activity
0,510.0,elevacion_reggaeton
1,516.0,elevacion_reggaeton
2,520.0,elevacion_reggaeton
3,517.0,elevacion_reggaeton
4,518.0,elevacion_reggaeton
5,508.0,elevacion_reggaeton
6,511.0,elevacion_reggaeton
7,510.0,elevacion_reggaeton
8,511.0,elevacion_reggaeton
9,510.0,elevacion_reggaeton
10,509.0,elevacion_reggaeton
11,508.0,elevacion_reggaeton
12,508.0,elevacion_reggaeton
13,514.0,elevacion_reggaeton
14,519.0,elevacion_reggaeton
15,518.0,elevacion_reggaeton
0,518.0,elevacion_reggaeton
1,519.0,elevacion_reggaeton
2,519.0,elevacion_reggaeton
3,517.0,elevacion_reggaeton
4,517.0,elevacion_reggaeton
5,514.0,elevacion_reggaeton
6,515.0,elevacion_reggaeton
7,512.0,elevacion_reggaeton
8,516.0,elevacion_reggaeton
9,518.0,elevacion_reggaeton
10,517.0,elevacion_reggaeton
11,515.0,elevacion_reggaeton
12,513.0,elevacion_reggaeton
13,512.0,elevacion_reggaeton
14,514.0,elevacion_reggaeton
15,513.0,elevacion_reggaeton
0,510.0,elevacion_reggaeton
1,507.0,elevacion_reggaeton
2,510.0,elevacion_reggaeton
3,525.0,elevacion_reggaeton
4,530.0,elevacion_reggaeton
5,524.0,elevacion_reggaeton
6,520.0,elevacion_reggaeton
7,512.0,elevacion_reggaeton
8,503.0,elevacion_reggaeton
9,502.0,elevacion_reggaeton
10,499.0,elevacion_reggaeton
11,504.0,elevacion_reggaeton
12,506.0,elevacion_reggaeton
13,508.0,elevacion_reggaeton
14,514.0,elevacion_reggaeton
15,511.0,elevacion_reggaeton
0,512.0,elevacion_reggaeton
1,514.0,elevacion_reggaeton
2,515.0,elevacion_reggaeton
3,523.0,elevacion_reggaeton
4,522.0,elevacion_reggaeton
5,525.0,elevacion_reggaeton
6,521.0,elevacion_reggaeton
7,517.0,elevacion_reggaeton
8,517.0,elevacion_reggaeton
9,521.0,elevacion_reggaeton
10,515.0,elevacion_reggaeton
11,515.0,elevacion_reggaeton
12,508.0,elevacion_reggaeton
13,504.0,elevacion_reggaeton
14,509.0,elevacion_reggaeton
